id,input,output,size,type
01,input_01.png,output_01.png,256x256,synthetic
02,input_02.png,output_02.png,256x256,synthetic
03,input_03.png,output_03.png,256x256,synthetic
04,input_04.png,output_04.png,256x256,synthetic
05,input_05.png,output_05.png,256x256,synthetic
06,input_06.png,output_06.png,256x256,synthetic
07,input_07.png,output_07.png,256x256,synthetic
08,input_08.png,output_08.png,256x256,synthetic
09,input_09.png,output_09.png,256x256,synthetic
10,input_10.png,output_10.png,256x256,synthetic
